# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
40435144 34.97723 35.16572 35.20018 -109.65  102.39  120.37    4.21    4.75 2.0803e+06 3.0028e+06 3.32676 0.29819 0.56180 0.52773  190.96      110 40440170 40440170
40435145 34.95387 35.04255 35.33800  -94.20   86.10   70.40    3.51    3.66 4.7746e+06 7.2732e+06 4.38732 0.43772 0.74770  2.8845  665.93      377       -1       -1
40435154 35.04315 35.15106 35.37873  -49.90   85.16  102.73    3.13    2.40 4.4915e+05 4.9648e+05 1.99577 0.11416 0.92700 0.01666  15.041       29 40441524 40440170
40435155 35.03838 35.16058 35.41113  -50.46  132.00  111.87    3.31    4.67 1.5366e+06 4.3258e+06 3.00704 0.40841 0.32930  1.0637  319.74      105 40441524 40441524
40435156 35.15985 35.20969 35.24507 -148.50  -41.04  -35.21    3.95    4.17 1.5127e+06 3.4751e+06 2.99155 0.20200 0.32930 0.69858   234.7       71 40440170 40440170
40435158 35.23606 35.19489 35.22854 -159.08  -72.59  -85.45    3.40    6.35 1.182e+06 1.5775e+07 2.75493 0.21956 0.18990  12.754    1987       55 40440170 40440170
40435162 35.18772 35.16175 35.23003 -255.24   26.76  -40.03    3.38    3.22 2.9789e+06 4.3662e+06 3.74930 0.49792 0.86720  1.0828  323.96      281 40440170 40440170
40435164 35.20668 35.14918 35.20223 -220.01   96.65   20.91    3.36    3.36 8.9831e+05 3.0648e+06 2.51408 0.18910 0.40570 0.54884  196.55       51 40440170 40440170
40435166 35.20724 35.15487 35.15593 -149.65   84.45  -43.52    3.40    3.60 1.4423e+06 2.7817e+06 2.94366 0.26405 0.32930 0.45565  171.41      225 40440170 40440170
40435174 35.20346 35.18203 35.21983 -245.54  -62.76   34.05    6.94   10.30 3.9479e+06 1.7254e+07 4.11831 0.21540 0.30280  15.148    2255      193 40436550 40440170
40435190 35.16966 35.16286 35.21920 -172.50  134.34   44.22    3.08    5.59 9.4563e+05 1.0079e+07 2.55775 0.36453 0.27620  5.3965  1055.6       43 40440170 40440170
