#
# Sat ID  	Host ID   	Sat PID   	Sat UpID  
#
7471622   	7470746   	-1        	-1        
7471768   	7470746   	-1        	-1        
7471784   	7470746   	-1        	-1        
7471804   	7470746   	-1        	-1        
7471815   	7470746   	-1        	-1        
7471822   	7470746   	7473257   	7473257   
7471830   	7470746   	7471919   	7473257   
7471833   	7470746   	7472652   	7472652   
7471853   	7470746   	7472652   	7473257   
7471857   	7470746   	7472652   	7473257   
7471858   	7470746   	7472652   	7473257   
7471873   	7470746   	-1        	-1        
7471911   	7470746   	-1        	-1        
7471919   	7470746   	7473257   	7473257   
7471921   	7470746   	7473257   	7473257   
7471932   	7470746   	7472471   	7473257   
7471934   	7470746   	7473257   	7473257   
7471976   	7470746   	-1        	-1        
7471981   	7470746   	7473257   	7473257   
7471984   	7470746   	7473257   	7473257   
7471989   	7470746   	7473257   	7473257   
7472197   	7470746   	7473257   	7473257   
7472276   	7470746   	-1        	-1        
7472277   	7470746   	-1        	-1        
7472293   	7470746   	7472652   	7472652   
7472311   	7470746   	-1        	-1        
7472435   	7470746   	-1        	-1        
7472464   	7470746   	7473257   	7473257   
7472471   	7470746   	7473257   	7473257   
7472509   	7470746   	7472652   	7473257   
7472644   	7470746   	-1        	-1        
7472652   	7470746   	7473257   	7473257   
7472656   	7470746   	-1        	-1        
7472661   	7470746   	-1        	-1        
7472663   	7470746   	-1        	-1        
7473166   	7470746   	-1        	-1        
7473167   	7470746   	-1        	-1        
7473169   	7470746   	-1        	-1        
7473171   	7470746   	-1        	-1        
7473172   	7470746   	-1        	-1        
7473177   	7470746   	7473257   	7473257   
7504669   	7470746   	-1        	-1        
7510261   	7470746   	-1        	-1        
24734160  	24734379  	-1        	-1        
24734161  	24734379  	24734160  	24734160  
24785697  	24734379  	-1        	-1        
24734775  	24734379  	-1        	-1        
24733485  	24734379  	24734160  	24734160  
24831997  	24734379  	-1        	-1        
24733964  	24734379  	-1        	-1        
24733646  	24734379  	24734160  	24734160  
24733039  	24734379  	-1        	-1        
24733827  	24734379  	-1        	-1        
24733452  	24734379  	24734161  	24734160  
24832012  	24734379  	-1        	-1        
24733046  	24734379  	-1        	-1        
24733985  	24734379  	-1        	-1        
24832016  	24734379  	-1        	-1        
24785702  	24734379  	24785697  	24785697  
24733654  	24734379  	-1        	-1        
24733061  	24734379  	-1        	-1        
24734158  	24734379  	24734161  	24734160  
24735068  	24734379  	-1        	-1        
24832010  	24734379  	-1        	-1        
24733709  	24734379  	24734161  	24734160  
24733257  	24734379  	-1        	-1        
24788037  	24734379  	-1        	-1        
24788063  	24734379  	-1        	-1        
24787913  	24734379  	-1        	-1        
24734753  	24734379  	-1        	-1        
24734241  	24734379  	-1        	-1        
24733776  	24734379  	-1        	-1        
24733958  	24734379  	24734161  	24734160  
24734750  	24734379  	-1        	-1        
24733743  	24734379  	-1        	-1        
24733004  	24734379  	-1        	-1        
24783679  	24734379  	-1        	-1        
24733657  	24734379  	24734160  	24734160  
24734113  	24734379  	-1        	-1        
24733643  	24734379  	-1        	-1        
24733241  	24734379  	-1        	-1        
24734032  	24734379  	-1        	-1        
24733364  	24734379  	24734160  	24734160  
24832035  	24734379  	-1        	-1        
24734298  	24734379  	-1        	-1        
24733566  	24734379  	-1        	-1        
24732932  	24734379  	-1        	-1        
24785690  	24734379  	24785697  	24785697  
24787928  	24734379  	-1        	-1        
24832025  	24734379  	-1        	-1        
24788891  	24734379  	-1        	-1        
24733389  	24734379  	-1        	-1        
24733609  	24734379  	24734160  	24734160  
24788071  	24734379  	-1        	-1        
24733937  	24734379  	-1        	-1        
24733647  	24734379  	24734160  	24734160  
24733372  	24734379  	-1        	-1        
24733830  	24734379  	-1        	-1        
24734159  	24734379  	24734163  	24734160  
24785686  	24734379  	-1        	-1        
24733652  	24734379  	24733485  	24734160  
24788062  	24734379  	-1        	-1        
24733494  	24734379  	-1        	-1        
24733248  	24734379  	24734775  	24734775  
24734140  	24734379  	24734161  	24734160  
24782150  	24734379  	-1        	-1        
24733642  	24734379  	24733646  	24734160  
24733121  	24734379  	-1        	-1        
24733359  	24734379  	24734161  	24734160  
24734773  	24734379  	24734775  	24734775  
24733261  	24734379  	-1        	-1        
24785688  	24734379  	24785697  	24785697  
24733074  	24734379  	-1        	-1        
24733536  	24734379  	24734161  	24734160  
24733327  	24734379  	-1        	-1        
24734151  	24734379  	24734163  	24734160  
24733963  	24734379  	-1        	-1        
24733645  	24734379  	24734160  	24734160  
24733355  	24734379  	24734160  	24734160  
24733983  	24734379  	-1        	-1        
24734143  	24734379  	24734161  	24734160  
24733486  	24734379  	24734160  	24734160  
24734110  	24734379  	-1        	-1        
24734099  	24734379  	24734160  	24734160  
24785693  	24734379  	24785697  	24785697  
24733357  	24734379  	24734161  	24734160  
24733648  	24734379  	24733485  	24734160  
24733298  	24734379  	24734161  	24734160  
24733382  	24734379  	24734161  	24734160  
24734931  	24734997  	-1        	-1        
24831817  	24734997  	-1        	-1        
24734263  	24734997  	-1        	-1        
24747211  	24734997  	-1        	-1        
24734478  	24734997  	-1        	-1        
24734803  	24734997  	-1        	-1        
24831950  	24734997  	-1        	-1        
24785621  	24734997  	-1        	-1        
24734690  	24734997  	-1        	-1        
24785034  	24734997  	-1        	-1        
24734253  	24734997  	-1        	-1        
24734584  	24734997  	-1        	-1        
24734199  	24734997  	-1        	-1        
24742381  	24742682  	-1        	-1        
24742587  	24742682  	-1        	-1        
24742179  	24742682  	-1        	-1        
24880456  	24742682  	-1        	-1        
24742517  	24742682  	24742540  	24742540  
24927794  	24742682  	-1        	-1        
24742218  	24742682  	-1        	-1        
24742183  	24742682  	-1        	-1        
24880110  	24742682  	-1        	-1        
24742357  	24742682  	-1        	-1        
24742575  	24742682  	-1        	-1        
24742364  	24742682  	-1        	-1        
24880649  	24742682  	-1        	-1        
24742538  	24742682  	24742540  	24742540  
24742529  	24742682  	24742540  	24742540  
9748055   	9748435   	-1        	-1        
9748199   	9748435   	-1        	-1        
9812220   	9748435   	-1        	-1        
9812233   	9748435   	-1        	-1        
9812429   	9748435   	-1        	-1        
9812898   	9748435   	-1        	-1        
9812902   	9748435   	-1        	-1        
9812906   	9748435   	-1        	-1        
9812908   	9748435   	-1        	-1        
9812914   	9748435   	-1        	-1        
9814435   	9748435   	-1        	-1        
9814438   	9748435   	-1        	-1        
9814457   	9748435   	-1        	-1        
12552379  	12552980  	-1        	-1        
12552754  	12552980  	-1        	-1        
12552775  	12552980  	12553027  	12553027  
12552805  	12552980  	-1        	-1        
12552983  	12552980  	-1        	-1        
12553025  	12552980  	12553027  	12553027  
12553038  	12552980  	-1        	-1        
12553079  	12552980  	-1        	-1        
12646567  	12552980  	-1        	-1        
12646572  	12552980  	-1        	-1        
12646610  	12552980  	-1        	-1        
12646619  	12552980  	-1        	-1        
12646621  	12552980  	-1        	-1        
12647055  	12552980  	-1        	-1        
12647071  	12552980  	-1        	-1        
12647080  	12552980  	-1        	-1        
12647088  	12552980  	-1        	-1        
12647089  	12552980  	12647088  	12647088  
12647099  	12552980  	-1        	-1        
12647145  	12552980  	-1        	-1        
12648747  	12552980  	-1        	-1        
12648826  	12552980  	-1        	-1        
12649338  	12552980  	-1        	-1        
