#
# Sat ID  	Host ID   	Sat PID   	Sat UpID  
#
7569623   	7563520   	7568489   	7568489   
7570030   	7563520   	7568489   	7568489   
7570040   	7563520   	7568489   	7568489   
7570047   	7563520   	7568489   	7568489   
7570048   	7563520   	7568489   	7568489   
7570049   	7563520   	7568870   	7568489   
7634490   	7563520   	7634495   	7634495   
6586156   	6590892   	6592078   	6592078   
6586227   	6590892   	6592078   	6592078   
6586400   	6590892   	6590573   	6592078   
6586426   	6590892   	-1        	-1        
6586474   	6590892   	6592078   	6592078   
6586486   	6590892   	6592078   	6592078   
6586525   	6590892   	6592078   	6592078   
6586580   	6590892   	-1        	-1        
6586624   	6590892   	6592078   	6592078   
6587275   	6590892   	6587471   	6592078   
6587364   	6590892   	6592078   	6592078   
6587368   	6590892   	6592078   	6592078   
6589318   	6590892   	6592078   	6592078   
6589320   	6590892   	6592078   	6592078   
6589364   	6590892   	6592078   	6592078   
6589489   	6590892   	6592078   	6592078   
6589576   	6590892   	6592078   	6592078   
6589705   	6590892   	6592078   	6592078   
6589776   	6590892   	6592078   	6592078   
6590116   	6590892   	6592078   	6592078   
6590126   	6590892   	6592078   	6592078   
6590133   	6590892   	6592078   	6592078   
6590134   	6590892   	6592078   	6592078   
6590244   	6590892   	6590949   	6592078   
6590275   	6590892   	6592078   	6592078   
6590445   	6590892   	6592078   	6592078   
6590483   	6590892   	6592078   	6592078   
6590522   	6590892   	6592078   	6592078   
6590539   	6590892   	6592078   	6592078   
6590573   	6590892   	6592078   	6592078   
6590778   	6590892   	6592078   	6592078   
6590789   	6590892   	6592078   	6592078   
6590806   	6590892   	6592078   	6592078   
6590834   	6590892   	6592078   	6592078   
6590853   	6590892   	-1        	-1        
6590913   	6590892   	6592078   	6592078   
6591184   	6590892   	6592078   	6592078   
6591255   	6590892   	6592078   	6592078   
6591739   	6590892   	6592508   	6592078   
6591942   	6590892   	6592078   	6592078   
6587380   	6591315   	-1        	-1        
6590471   	6591315   	6592078   	6592078   
6589739   	6596551   	-1        	-1        
6589944   	6596551   	-1        	-1        
6596458   	6596551   	-1        	-1        
6596507   	6596551   	-1        	-1        
6596569   	6596551   	-1        	-1        
6628273   	6596551   	6628323   	6628323   
6628293   	6596551   	-1        	-1        
6628343   	6596551   	-1        	-1        
6628461   	6596551   	-1        	-1        
6597214   	6597199   	-1        	-1        
6592562   	6621445   	-1        	-1        
6621438   	6621445   	-1        	-1        
6622090   	6621445   	-1        	-1        
6626756   	6621445   	-1        	-1        
6626866   	6621445   	-1        	-1        
6586493   	6628323   	-1        	-1        
6588928   	6628323   	-1        	-1        
6588930   	6628323   	-1        	-1        
6589944   	6628323   	-1        	-1        
6591202   	6628323   	-1        	-1        
6596459   	6628323   	-1        	-1        
6596586   	6628323   	-1        	-1        
20418197  	20408520  	-1        	-1        
20418172  	20408520  	-1        	-1        
20467799  	20467901  	20467807  	20467807  
20467772  	20467901  	20467807  	20467807  
20467881  	20467901  	20467807  	20467807  
12959053  	12962322  	-1        	-1        
12960877  	12962322  	-1        	-1        
12958912  	12962322  	-1        	-1        
12962158  	12962322  	-1        	-1        
12951793  	12951899  	-1        	-1        
12951720  	12951899  	-1        	-1        
6762077   	6762263   	-1        	-1        
6751787   	6752075   	-1        	-1        
6825410   	6752075   	-1        	-1        
6752210   	6752075   	6752850   	6752850   
6751792   	6752075   	-1        	-1        
6751763   	6752075   	-1        	-1        
6825399   	6752075   	-1        	-1        
6825028   	6752075   	-1        	-1        
6752070   	6752075   	6752071   	6752850   
6763508   	6762378   	-1        	-1        
24880566  	24751513  	-1        	-1        
13906632  	13891743  	-1        	-1        
13919983  	13891743  	-1        	-1        
13891759  	13891743  	-1        	-1        
13892713  	13892775  	-1        	-1        
13923445  	13893378  	-1        	-1        
13893370  	13893378  	-1        	-1        
12535320  	12533647  	12535495  	12535495  
12535332  	12533647  	12541392  	12541392  
12535365  	12533647  	-1        	-1        
12535401  	12533647  	12541392  	12541392  
12537635  	12533647  	12539465  	12541392  
12537929  	12533647  	12538839  	12541392  
12538346  	12533647  	12541392  	12541392  
12538462  	12533647  	12537527  	12541392  
12538967  	12533647  	12541392  	12541392  
12538978  	12533647  	12539395  	12541392  
12539303  	12533647  	12541392  	12541392  
12539395  	12533647  	12541392  	12541392  
12539433  	12533647  	12541392  	12541392  
12539465  	12533647  	12538839  	12541392  
12540236  	12533647  	12541392  	12541392  
